Call,Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Location,County,Lat,Long,Mode,Digital Access,EchoLink,Last Update
N4RSW,446.175,446.175,x,,,Emerson - Lake Point,Bartow,34.1269989,-84.75550079,Analog,,4505,4/3/2022
W4FLE,445.74,445.74,x,74.4,,Brunswick - FLETC Glynco Campus,Glynn,31.2317093,-81.4721131,Analog,,,4/7/2022
KG4BKO,444.9875,449.9875,+,,,Vidalia - City Water Tower,Toombs,32.2175093,-82.409216,DMR,1,,4/11/2022
WB4RTH,444.975,449.975,+,100.0,100.0,Atlanta - Buckhead,Fulton,33.83940125,-84.37940216,Analog/analog,,,6/12/2022
WR4MG,444.95,449.95,+,107.2,107.2,Butler,Taylor,32.524736,-84.240239,Analog/analog,,,6/11/2022
KA3JIJ,444.95,449.95,+,,,Clermont - Wauka Mountain,Hall,34.29790115,-83.82409668,DMR,1,,4/3/2022
KF4BI,444.925,449.925,+,141.3,,Sycamore,Turner,31.67429924,-83.63739777,Analog/analog,,,7/21/2022
N4MPC,444.9,449.9,+,100.0,,Decatur,Dekalb,33.8008,-84.2706,DMR/analog,1,,6/21/2022
K4KNS,444.9,449.9,+,71.9,71.9,Evans,Columbia,33.5082016,-82.12409973,Analog/analog,,,6/7/2022
N4RFC,444.8875,449.8875,+,,,Woodstock,Cherokee,34.10334,-84.51855,DMR/analog,,,6/21/2022
KE4RJI,444.875,449.875,+,141.3,,Tifton - MRS Warehouse,Tift,31.45120049,-83.50180054,Analog/analog,,,4/5/2022
KE4UAS,444.875,449.875,+,100.0,100.0,McDonough - Henry County Fire Department Station 1,Henry,33.4239006,-84.17179871,DMR/analog,1,906938,4/1/2022
N4DMX,444.85,449.85,+,141.3,,Chatsworth,Murray,34.76589966,-84.76989746,Analog/analog,,,4/3/2022
KB4MQ,444.85,449.85,+,103.5,103.5,Eastman,Dodge,32.1977005,-83.17769623,Analog/analog,,,4/2/2022
W4DOC,444.825,449.825,+,,,Atlanta - Bank of America Tower,Fulton,33.77090073,-84.38619995,DMR,10,,6/12/2022
